Descriptor_1,Descriptor_2,Pearson_Correlation,Abs_Correlation
SpMax4_Bhm,SpMin6_Bhv,0.7029637033741808,0.7029637033741808
nHBint5,nHsOH,0.7029103548307544,0.7029103548307544
MLFER_S,VR3_D,0.7028880809156804,0.7028880809156804
SpMin6_Bhv,SpMAD_Dt,0.7028407783214295,0.7028407783214295
hmin,CIC0,-0.7028065852945636,0.7028065852945636
minwHBa,maxHBa,-0.7027438903143197,0.7027438903143197
ATSC0i,SpMax4_Bhv,0.7027159457569776,0.7027159457569776
SpMax6_Bhm,SpMin6_Bhs,0.7026209034802758,0.7026209034802758
minsssCH,ETA_Eta_B,-0.7026156879101211,0.7026156879101211
ATSC0i,IC3,0.7025986722797694,0.7025986722797694
ATS4m,ZMIC1,0.7025919379643719,0.7025919379643719
ATS0s,SsssCH,-0.7025818697042536,0.7025818697042536
ATSC7m,ATSC7p,0.7025587496791316,0.7025587496791316
AMR,SpMin7_Bhv,0.7025539522286253,0.7025539522286253
AMR,SpMin8_Bhv,0.7025435131904544,0.7025435131904544
nHBint8,SHBd,0.7023524388546232,0.7023524388546232
SpMin7_Bhe,SpMax_Dt,0.7023217345740542,0.7023217345740542
SpMin5_Bhs,SpMin8_Bhs,0.702278741152036,0.702278741152036
MDEC-14,JGT,0.7022654323452048,0.7022654323452048
nO,ETA_dBeta,-0.702253464518429,0.702253464518429
SpMAD_Dt,VR3_D,0.7021035414716001,0.7021035414716001
SpMin7_Bhs,CIC0,0.7019872948566653,0.7019872948566653
CIC0,EE_D,0.701952071016806,0.701952071016806
ETA_EtaP,MDEC-14,0.7018407625760601,0.7018407625760601
nsssCH,ETA_Eta_B,0.7018225692273276,0.7018225692273276
GATS5v,GATS5i,0.7017462479291418,0.7017462479291418
ATS2s,SpMin7_Bhe,0.7017349831496785,0.7017349831496785
MATS5c,MATS5e,0.701717956463589,0.701717956463589
nHsOH,SsssCH,-0.7016190591984772,0.7016190591984772
AATS1m,AATS6m,0.70153237607337,0.70153237607337
AATS5v,Mp,0.7012772651879347,0.7012772651879347
VCH-7,VC-5,0.701274946838605,0.701274946838605
IC3,CIC0,0.7012057706457872,0.7012057706457872
VR3_DzZ,SpMax5_Bhv,0.7011475644845969,0.7011475644845969
SM1_Dze,nHBint6,0.7011152114594607,0.7011152114594607
VR3_DzZ,SpMAD_Dt,0.7010783564536602,0.7010783564536602
ATSC0i,SpMin8_Bhe,0.7010321814681618,0.7010321814681618
VR3_Dt,nRotBt,0.7009739354341479,0.7009739354341479
VC-6,GGI2,0.700882278563655,0.700882278563655
SpMin4_Bhs,SpMin7_Bhs,0.7008532565309745,0.7008532565309745
ATSC0p,fragC,0.7008211363301511,0.7008211363301511
SpMax2_Bhv,SpMin7_Bhv,0.7007749224254148,0.7007749224254148
nHsNH2,ETA_dEpsilon_D,0.7007499427275812,0.7007499427275812
VR3_DzZ,SpMax5_Bhm,0.7006846939479211,0.7006846939479211
SpMax5_Bhs,nHBa,0.7006444638237144,0.7006444638237144
SpMin5_Bhv,EE_D,0.7006358260309008,0.7006358260309008
C3SP3,VC-3,0.7006152610211248,0.7006152610211248
nBr,SpMax1_Bhm,0.7005581514743872,0.7005581514743872
ATSC0p,ETA_EtaP,0.7005101392593519,0.7005101392593519
nHBint5,TopoPSA,0.7004935328694161,0.7004935328694161
ATSC0p,SpMin6_Bhm,0.7004734187001996,0.7004734187001996
ATSC0p,SpMin7_Bhm,0.7004632443668009,0.7004632443668009
MATS4m,GATS4v,-0.7003714234566125,0.7003714234566125
ETA_Eta_B,ETA_EtaP_B_RC,0.7002743635907834,0.7002743635907834
nHBint2,SHssNH,0.700194785898685,0.700194785898685
ATSC0p,SHCsats,0.700146024199847,0.700146024199847
